PREVIOUS,CURRENT
mondiale,de l’alimentation
de l’alimentation,le
le,16
16,octobre
Mauvaises,infrastructures
Jusqu’à,présent
présent,la FAO
la FAO,évaluait
évaluait,qu’un
qu’un,tiers
tiers,de la nourriture
de la nourriture,produite
produite,dans le
dans le,monde
n’était,pas
pas,consommée
consommée,une
une,estimation
estimation,qui
qui,remonte
remonte,à 2011
L’agence,onusienne
onusienne,a
a,cette
cette,fois
fois,affiné
affiné,sa
sa,méthodologie
méthodologie,pour distinguer
pour distinguer,deux
deux,notions
notions,:
les,pertes
pertes,alimentaires
alimentaires,tout
tout,ce
ce,qui
qui,est
est,perdu
perdu,entre la récolte
entre la récolte,et la vente
et la vente,au détail
pendant les,étapes
étapes,de stockage
de stockage,et de transport
et de transport,notamment
notamment,et le
et le,gaspillage
gaspillage,qui
qui,intervient
de la vente,aux particuliers
aux particuliers,et de la consommation
Selon,les
les,calculs
calculs,de la FAO
de la FAO,14
14,%
%,de la nourriture
de la nourriture,mondiale
mondiale,est
est,perdue
avant d’atteindre,les
les,étals
étals,de distribution
de distribution,En
En,revanche
revanche,l’agence
l’agence,ne
ne,donne
donne,pas
à ce,stade
stade,d’estimation
d’estimation,précise
précise,du
du,gaspillage
gaspillage,lors de la distribution
lors de la distribution,et chez les
et chez les,particuliers
particuliers,qui
qui,fera
fera,l’objet
l’objet,d’une
d’une,étude
étude,séparée
séparée,par le
par le,Programme
Programme,des Nations
des Nations,unies
unies,pour l’environnement
La,question
question,des pertes
des pertes,alimentaires
alimentaires,affecte
affecte,en premier
lieu,les
les,pays
pays,à faibles
à faibles,revenus
revenus,Mauvaises
Mauvaises,infrastructures
infrastructures,manque
manque,de connaissances
de connaissances,techniques
de moyens,financiers
financiers,pour assurer
pour assurer,un
un,bon
bon,stockage
stockage,des produits
des produits,sont
sont,notamment
notamment,en cause
La,FAO
FAO,chiffre
chiffre,ces
ces,pertes
pertes,à 400
à 400,milliards
milliards,de dollars
de dollars,360
360,milliards
milliards,d’euros
d’euros,:
:,«
«,C’est
C’est,un
un,effort
effort,de production
de production,et des dépenses
et des dépenses,encourues
encourues,par les
par les,agriculteurs
agriculteurs,les
les,transporteurs
transporteurs,et les
et les,industriels
industriels,qui
qui,n’aboutissent
n’aboutissent,pas
pas,à une
à une,vente
vente,et donc
et donc,à un
à un,revenu
revenu,»,
»,,note
note,Carola
Carola,Fabi
Fabi,statisticienne
statisticienne,à la FAO
à la FAO,Le
Le,chiffre
chiffre,de 14
de 14,%
%,de pertes
de pertes,n’englobe
n’englobe,pas
pas,les
les,produits
produits,alimentaires
alimentaires,non
non,récoltés
récoltés,du
du,fait
fait,d’événements
d’événements,exceptionnels
exceptionnels,comme
comme,les
les,inondations
inondations,le
le,gel
gel,ou
ou,autres
autres,aléas
aléas,climatiques
car,le
le,pourcentage
pourcentage,de pertes
de pertes,se
se,rapporte
rapporte,à la production
à la production,qui
qui,se
se,calcule
calcule,après la récolte
ARTICLE,3
L’état,de préparation
de préparation,du
du,public
public,et du
et du,secteur
secteur,marchand
marchand,en cas
de Brexit,sans accord
sans accord,reste
reste,faible
faible,en GrandeBretagne
en GrandeBretagne,selon des documents
selon des documents,officiels
rendus,publics
publics,mercredi
mercredi,11
11,septembre
septembre,La
La,menace
menace,d’encombrement
d’encombrement,des ports
des ports,est
est,telle
telle,qu’elle
pourrait,provoquer
provoquer,des pénuries
des pénuries,de médicaments
de médicaments,et de nourriture
Les,députés
députés,britanniques
britanniques,avaient
avaient,voté
voté,la semaine
la semaine,dernière
dernière,pour forcer
leur,gouvernement
gouvernement,à publier
à publier,les
les,détails
détails,de l’
de l’,Opération
Opération,Yellowhammer
Yellowhammer,»,
le,nom
nom,de code
de code,des documents
des documents,gouvernementaux
gouvernementaux,confidentiels
confidentiels,datés
datés,du
du,2
2,août
août,qui
qui,précisent
les,conséquences
conséquences,d’un
d’un,nodeal
nodeal,absence
absence,d’accord
d’accord,pour le
pour le,RoyaumeUni
RoyaumeUni,au lendemain
au lendemain,du
du,Brexit
prévu,le
le,31
31,octobre
Une,solution
solution,non
non,viable
Dans,la perspective
la perspective,d’un
d’un,tel
tel,scénario
scénario,les
les,autorités
autorités,britanniques
britanniques,prévoient
prévoient,des perturbations
à court,terme
terme,dans 12
dans 12,domainesclés
domainesclés,dont
dont,l’approvisionnement
l’approvisionnement,en eau
en eau,et nourriture
la santé,les
les,transports
transports,et les
et les,frontières
frontières,ainsi
ainsi,que
que,la possibilité
la possibilité,de désordres
de désordres,publics
Le,projet
projet,britannique
britannique,de suppression
de suppression,des contrôles
des contrôles,à la frontière
à la frontière,irlandaise
irlandaise,«
«,s’avérerait
s’avérerait,probablement
probablement,non
non,viable
viable,en raison
en raison,d’importants
d’importants,risques
risques,sur les
sur les,plans
plans,économique
économique,juridique
juridique,et de biosécurité
et de biosécurité,»,
»,,selon ce
selon ce,document
document,qui
qui,évoque
évoque,la possibilité
la possibilité,de l’émergence
de l’émergence,d’un
d’un,marché
marché,noir
noir,dans les
dans les,communautés
communautés,frontalières
Autre,incidence
incidence,inquiétante
inquiétante,d’un
d’un,tel
tel,scénario
scénario,:
:,le
le,manque
manque,de produits
de produits,chimiques
chimiques,pour le
pour le,retraitement
retraitement,des eaux
des eaux,qui
qui,pourrait
pourrait,affecter
affecter,des
des,centaines
centaines,de milliers
de milliers,»
»,de personnes
de personnes,précise
précise,le
le,rapport
rapport,Celuici
Celuici,évoque
évoque,en outre
en outre,le
le,risque
risque,de ruptures
d’approvisionnement,dans les
dans les,pharmacies
pharmacies,et les
et les,hôpitaux
hôpitaux,alors
alors,que
que,les
les,«
«,trois
trois,quarts
quarts,»
des médicaments,utilisés
utilisés,dans le
dans le,pays
pays,transitent
transitent,par le
par le,tunnel
tunnel,sous la Manche
où,les
les,embouteillages
embouteillages,s’annoncent
s’annoncent,considérables
Ces,engorgements
engorgements,pourraient
pourraient,durer
durer,au moins
au moins,trois
trois,mois
mois,avant que
avant que,le
le,trafic
trafic,des camions
des camions,s’améliore
s’améliore,un
un,peu
peu,:
:,il
il,ne
ne,reprendrait
reprendrait,au mieux
au mieux,début
début,2020
2020,qu’à
qu’à,«
«,40
40,à 60
à 60,%
%,de son
de son,niveau
niveau,actuel
actuel,».
».,En
En,effet
effet,85
85,%
%,des chauffeurs
des chauffeurs,britanniques
britanniques,ne
ne,seraient
seraient,pas
pas,prêts
prêts,pour les
pour les,contrôles
contrôles,douaniers
douaniers,que
que,la France
la France,mettra
mettra,en place
en place,dès le
dès le,1er
1er,novembre
novembre,Les
Les,retards
retards,à prévoir
à prévoir,à l’embarquement
à l’embarquement,sur un
sur un,ferry
ferry,ou
ou,au passage
au passage,de la Manche
de la Manche,pourraient
pourraient,atteindre
atteindre,deux
deux,jours
jours,et demi
et demi,pour un
pour un,semiremorque
semiremorque,britannique
«,L’état
L’état,de préparation
de préparation,du
du,public
public,et du
et du,secteur
secteur,marchand
marchand,(…)
(…),restera
restera,faible
faible,(…)
(…),en raison
l’absence,d’une
d’une,vision
vision,claire
claire,sur la forme
sur la forme,de la sortie
de la sortie,de l’Union
de l’Union,européenne
européenne,»,
selon les,documents
documents,Une
Une,partie
partie,de ces
de ces,documents
documents,avaient
avaient,fuité
fuité,dans l’hebdomadaire
dans l’hebdomadaire,Sunday
Sunday,Times
le,18
18,août
août,dernier
dernier,suscitant
suscitant,l’inquiétude
l’inquiétude,parmi la population
parmi la population,britannique
Lire,aussi
aussi,
,Brexit
Brexit,:
:,Si
Si,Boris
Boris,Johnson
Johnson,ne
ne,demande
demande,pas
pas,un
un,report
report,les
les,conséquences
conséquences,peuvent
peuvent,être
être,très
très,graves
Possible,augmentation
augmentation,des désordres
des désordres,publics
Gibraltar,pourrait
pourrait,également
également,être
être,affecté
affecté,en raison
en raison,de la mise
en place,de contrôles
de contrôles,douaniers
douaniers,à sa
à sa,frontière
frontière,avec
avec,l’Espagne
l’Espagne,Des
Des,accrochages
accrochages,pourraient
pourraient,également
également,éclater
éclater,dans les
dans les,zones
zones,de pêche
de pêche,entre pêcheurs
entre pêcheurs,britanniques
britanniques,et étrangers
et étrangers,indique
indique,le
le,rapport
rapport,qui
qui,met
met,aussi
aussi,en garde
en garde,contre
contre,une
une,possible
possible,augmentation
augmentation,des désordres
des désordres,publics
publics,et des tensions
et des tensions,communautaires
communautaires,».
Le,gouvernement
gouvernement,a
a,souligné
souligné,qu’il
qu’il,était
était,en train
en train,de mettre
de mettre,à jour
à jour,le
le,document
Il,décrit
décrit,ce
ce,qui
qui,pourrait
pourrait,se
se,passer
passer,dans le
dans le,pire
pire,des cas
des cas,a
a,insisté
insisté,le
le,ministre
ministre,chargé
chargé,du
du,Brexit
Michael,Gove
Mais,ces
ces,mises
mises,en garde
en garde,accroissent
accroissent,la pression
la pression,sur le
sur le,premier
premier,ministre
Boris,Johnson
Johnson,qui
qui,a
a,promis
promis,de mener
de mener,à bien
à bien,le
le,Brexit
Brexit,d’ici
d’ici,le
le,31
31,octobre
octobre,avec
avec,ou
ou,sans accord
avec,l’Union
l’Union,européenne
européenne,Il
Il,a
a,essuyé
essuyé,mercredi
mercredi,un
un,nouveau
nouveau,revers
revers,lorsque
lorsque,la justice
la justice,écossaise
a,déclaré
déclaré,illégale
illégale,la suspension
la suspension,controversée
controversée,du
du,Parlement
Parlement,jusqu’au
jusqu’au,14
14,octobre
soit,deux
deux,semaines
semaines,seulement
seulement,avant la date
avant la date,prévue
prévue,pour le
pour le,Brexit
ARTICLE,4
Les,questions
questions,existentielles
existentielles,jouentelles
jouentelles,un
un,rôle
rôle,important
important,dans les
dans les,réseaux
réseaux,sociaux
sociaux,?
C’est,sans doute
sans doute,ce
ce,que
que,se
se,disent
disent,les
les,adeptes
adeptes,du
du,foodforthought
(«,nourriture
nourriture,pour l’esprit
pour l’esprit,»
»,en VF
en VF,Mais
Mais,qu’estce
qu’estce,que
que,cela
cela,mange
mange,un
un,esprit
esprit,selon Instagram
selon Instagram,?
De,la nourriture
la nourriture,de la vraie
de la vraie,justement
justement,:
:,œufs
œufs,mollets
mollets,sur toast
sur toast,beignets
beignets,décorés
de bonbons,multicolores
multicolores,ragoûts
ragoûts,de quinoa
de quinoa,aux quatorze
aux quatorze,légumes
légumes,quadruple
quadruple,cheeseburger
cheeseburger,Tout
Tout,y
y,passe
passe,pourvu
pourvu,que
que,cela
cela,soit
soit,photogénique
Depuis,longtemps
longtemps,la médecine
la médecine,a
a,déterminé
déterminé,que
que,certains
certains,aliments
aliments,les
les,acides
acides,gras
gras,et les
et les,glucides
glucides,par exemple
par exemple,servaient
servaient,de carburant
de carburant,au cerveau
au cerveau,Aucune
Aucune,étude
étude,en revanche
en revanche,ne
ne,permet
permet,de déterminer
de déterminer,l’impact
l’impact,sur la nutrition
sur la nutrition,et le
et le,fonctionnement
fonctionnement,des neurones
des neurones,d’un
d’un,cappuccino
cappuccino,servi
servi,recouvert
recouvert,d’un
d’un,ourson
ourson,en mousse
en mousse,de lait
Martin,Luther
Luther,King
King,Steve
Steve,Jobs
Jobs,Bouddha
Si,l’on
l’on,en croit
en croit,les
les,utilisateurs
utilisateurs,de foodforthought
de foodforthought,leur
leur,esprit
esprit,se
se,nourrit
nourrit,aussi
aussi,de citations
exclusivement,sur des thèmes
sur des thèmes,bienêtre
bienêtre,et développement
et développement,personnel
personnel,Exemple
Exemple,:
N’ayez,pas
pas,peur
peur,de lâcher
de lâcher,tout
tout,ce
ce,qui
qui,vous
vous,retient
retient,d’atteindre
d’atteindre,votre
votre,but
L’enfonçage,de porte
de porte,ouverte
ouverte,est
est,ici
ici,un
un,art
art,qui
qui,n’a
n’a,d’égal
d’égal,que
les,petites
petites,phrases
phrases,que
que,l’on
l’on,trouve
trouve,sur les
sur les,étiquettes
étiquettes,de Yogi
de Yogi,Tea
Tea,aussi
aussi,connues
sous le,nom
nom,de guide
de guide,spirituel
spirituel,pour yogis
pour yogis,débutantes
ARTICLE,5
Manger,équilibré
équilibré,est
est,d’autant
d’autant,plus
plus,indispensable
indispensable,à cette
à cette,période
période,de l’année
de l’année,qu’une
qu’une,mauvaise
mauvaise,alimentation
alimentation,peut
peut,engendrer
engendrer,une
une,fatigue
fatigue,ellemême
ellemême,renforcée
renforcée,en cette
en cette,période
période,de l’année
de l’année,par le
par le,peu
peu,de luminosité
de luminosité,et la baisse
et la baisse,des températures
Mais,il
il,n’y
n’y,a
a,pas
pas,de lien
de lien,entre alimentation
entre alimentation,et risque
infectieux,sauf
sauf,évidemment
évidemment,pour les
pour les,personnes
personnes,en dénutrition
en dénutrition,rappelle
rappelle,Serge
Serge,Hercberg
viceprésident,du
du,comité
comité,stratégique
stratégique,du
du,programme
programme,national
national,nutrition
nutrition,santé
santé,PNNS
En,revanche
revanche,manger
manger,trop
trop,riche
riche,fatigue
fatigue,l’organisme
l’organisme,en suscitant
en suscitant,une
une,digestion
digestion,difficile
difficile,La
La,suralimentation
suralimentation,qui
qui,peut
peut,se
se,traduire
traduire,par un
par un,excès
excès,d’apport
d’apport,en lipides
en lipides,ou
ou,en sucres
en sucres,ajoutés
ajoutés,baisse
baisse,la résistance
la résistance,bactérienne
bactérienne,«
«,Toute
Toute,alimentation
alimentation,industrielle
industrielle,transformée
transformée,sodas
sodas,nuggets
nuggets,réduit
réduit,la concentration
la concentration,en micronutriments
en micronutriments,et favorise
et favorise,la baisse
la baisse,des défenses
des défenses,immunitaires
immunitaires,»,
»,,déclare
déclare,le
le,nutritionniste
nutritionniste,Laurent
Laurent,Chevallier
Lire,:
:,Avant
Avant,l'arrivée
l'arrivée,de la grippe
de la grippe,A
A,comment
comment,renforcer
renforcer,ses
ses,défenses
défenses,immunitaires
immunitaires,?
A noter,que
que,les
les,soupes
soupes,en plus
en plus,de réchauffer
de réchauffer,apportent
apportent,le
le,plein
plein,de sucres
de sucres,rapides
rapides,carottes
carottes,et navets
et navets,et lents
et lents,poireaux
poireaux,et oignons
et oignons,le
le,tout
tout,couplé
couplé,avec
avec,une
une,hydratation
hydratation,optimale
optimale,en hiver
en hiver,Une
Une,nécessité
nécessité,quand
quand,le
le,froid
froid,et le
et le,chauffage
chauffage,des espaces
des espaces,intérieurs
intérieurs,assèchent
assèchent,l’air
l’air,et le
et le,corps
Des,vitamines
vitamines,pour lutter
pour lutter,contre les
contre les,infections
infections,?
NON,PLUS
Nul,besoin
besoin,de se
de se,gaver
gaver,de compléments
de compléments,alimentaires
alimentaires,Il
Il,n’y
n’y,a
a,aucune
aucune,étude
étude,scientifique
scientifique,qui
qui,justifie
justifie,réellement
réellement,la prise
